Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
7851027469,"Khăn Tắm Royal Towel 50x100cm Hoặc 60x120cm Sợi Cotton Mềm Mịn, Thấm Hút Tốt, Không Xổ Lông, Không Phai Màu","64,0k",1tr+,Khăn Bông Cao Cấp ,16%,₫10.240,https://shopee.vn/product/291717098/7851027469,https://s.shopee.vn/9zu9AmWbhf
27879167757,Hộp muối dưa cà thông minh tiện lợi nhựa Việt Nhật (Dung tích 5L - 7.5 L),"132,3k",4k+,HẰNG ĐỒNG NÁT,6%,₫7.938,https://shopee.vn/product/297788740/27879167757,https://s.shopee.vn/8V5LO1cJkO
22356026445,"Bánh tráng Phơi Sương COMBO Ú Ù AVAGI (Bánh tráng, Tóp mỡ, túi Bơ, Ruốc hành phi, sốt tắc, ớt rim)","19,0k",200k+,anvatavagi,12%,₫2.280,https://shopee.vn/product/215043735/22356026445,https://s.shopee.vn/8KlvBicx5N
24482376499,Quạt Tích Điện 8inch Chất Liệu Full Thép Không Rỉ Dùng Pin Phổ Thông M21 Quạt Sạc Pin Tích Điện Với 2 Mức Độ Gió Siêu Êm,"240,0k",6k+,INNIC STORE,14%,₫33.600,https://shopee.vn/product/1211827848/24482376499,https://s.shopee.vn/8ASUzPdaQM
19182337079,"Kệ góc nhà tắm Enomax dán tường, để đồ nhà tắm đa năng  lắp đặt bằng keo chuyên dụng hoặc ốc vít","105,0k",40k+,Enomax,6%,₫6.300,https://shopee.vn/product/1038889992/19182337079,https://s.shopee.vn/8094n6eDlL
25352404519,Chảo vuông chống dính chiên trứng cuộn dùng được bếp từ,"166,0k",1k+,GIA DỤNG LITI,6%,₫9.960,https://shopee.vn/product/1067796558/25352404519,https://s.shopee.vn/9AL2BFZmOa
42758539880,ASHALI Nam Mùa Hè Mặc Ngoài Thể Thao Chống Mài Mòn Giày Sandal Che Mũi Chống Trơn Trượt,"199,0k",10k+,ASHALI,15%,₫29.850,https://shopee.vn/product/971837775/42758539880,https://s.shopee.vn/901bywaPjZ
43705417224,"Anker Zolo Củ Sạc 20/30W PD GaN - Sạc Nhanh Không Nóng, Chân Gập Gọn, Cho Samsung iPhone 7-17 [BH 18 tháng]","220,0k",10k+,focos,14%,₫30.800,https://shopee.vn/product/1439789223/43705417224,https://s.shopee.vn/8piBmdb34Y
52306955570,"(HÀNG VIỆT NAM CHẤT LƯỢNG CAO) Khăn giấy cao cấp Mộc an Topgia hàng Việt Nam 4 lớp, dày dặn, an toàn cho da","100,0k",20k+,TopGia HCM,14%,₫14.000,https://shopee.vn/product/729014007/52306955570,https://s.shopee.vn/8fOlaKbgPX
23884466269,"Bộ dụng cụ nhà bếp, vá nấu ăn bằng silicon 5 món chịu nhiệt độ cao","139,0k",4k+,GIA DỤNG LITI,6%,₫8.340,https://shopee.vn/product/1067796558/23884466269,https://s.shopee.vn/7AZxnZhOSG
1339423622,"Quạt Tích Điện Mini Kẹp Bàn Văn Phòng, Đèn LED, Pin Trâu Cao Cấp – Quạt Để Bàn Tiện Dụng Sạc Type-C","149,0k",10k+,Vua Phụ Kiện Số - Tai Nghe Cáp,10%,₫14.900,https://shopee.vn/product/65363449/1339423622,https://s.shopee.vn/70GXbGi1nF
44603340689,"Dép Sục Unisex SAHADOR Cao Cấp thiết kế mới hottrend, chất liệu Eva đế cao 4cm siêu êm nhẹ bền SO06","139,0k",2k+,SAHADOR Việt Nam,15%,₫20.850,https://shopee.vn/product/319829316/44603340689,https://s.shopee.vn/6px7Oxif8E
9257245823,"👉𝑴𝑨́𝒀 Đ𝑨̂̉𝒀 𝑲𝑯𝑰́ 𝑵𝑬́𝑵 👉 Súng Thông Tắc Bồn Cầu, Bồn Rửa Chén, Dụng Cụ Thông Cống, Bồn Rửa Mặt, Áp Suất Nén Tới 8kg","229,0k",10k+,Kiều Duyên Phát,4%,₫9.160,https://shopee.vn/product/436677047/9257245823,https://s.shopee.vn/6fdhCejITD
24265461287,BMZAR Túi Giữ Nhiệt Giao Hàng Dày Dặn Chống Nước Tốt Cho Shipper 22L 32L 48L 62L (Tặng Kèm Dây Đeo Vai),"185,0k",2k+,BMZAR,7%,₫12.950,https://shopee.vn/product/1117225671/24265461287,https://s.shopee.vn/7ppeaner6S
24333797545,"Gối cao su non người lớn, gối cao su non Cotton Đũi kẻ đơn giản tinh tế chống ngáy kích thước 30-50cm","76,0k",3k+,ChanGaGoiTrendy,7%,₫5.320,https://shopee.vn/product/539347602/24333797545,https://s.shopee.vn/7fWEOUfURR
45005525815,Dép sục nam-nữ phi hành gia kèm charm hot trend trẻ trung phong cách 062,"179,0k",1k+,nganha399,12%,₫21.480,https://shopee.vn/product/7466021/45005525815,https://s.shopee.vn/7VCoCBg7mQ
5964817450,"Khăn Tắm Châu Âu 70x140cm, 60x120cm, 50x100cm LOTUSTOWEL 100% Cotton Mềm Mịn Thấm Hút Không Ra Màu","25,0k",200k+,Khăn Bông Lotus,14%,₫3.500,https://shopee.vn/product/233958535/5964817450,https://s.shopee.vn/7KtNzsgl7P
18181208670,"Hộp cơm giữ nhiệt  2 tầng cao cấp Fan House Enjoy, dung tích 1600ml, chất liệu inox 304, tặng bộ đũa thìa","190,0k",30k+,FAN HOUSE MALL,6%,₫11.400,https://shopee.vn/product/905004672/18181208670,https://s.shopee.vn/5q4aD7mTA8
44113739369,ASHALI Dép Nam 2025 Phong Cách Mới Đế Dày Cao Chống Trơn Trượt Ngoài Trời Dép Đi Biển Thường Ngày Mùa Hè,"199,0k",2k+,ASHALI,15%,₫29.850,https://shopee.vn/product/971837775/44113739369,https://s.shopee.vn/5flA0on6V7
22336917168,Thùng 48 hộp Sữa tươi Tiệt Trùng Vinamilk Green Farm rất ít đường 110ml,"316,2k",400k+,vinamilk_official,6%,₫18.973,https://shopee.vn/product/975865932/22336917168,https://s.shopee.vn/5VRjoVnjq6
13691635214,"Khăn Tắm, Khăn Gội, Khăn Mặt Royal Towel Sợi Cotton Mềm Mịn, Thấm Hút Tốt, Không Xổ Lông, Không Phai Màu","19,0k",700k+,Royal Towel,14%,₫2.660,https://shopee.vn/product/768543343/13691635214,https://s.shopee.vn/5L8JcCoNB5
17118215227,"HM01 Máy hàn miệng túi nilon túi zip dập tay PFS 200 để bảo quản thực phẩm, bọc sản phẩm bán hàng, cắt màng co","179,0k",1k+,Hot shopping,6%,₫10.740,https://shopee.vn/product/419939572/17118215227,https://s.shopee.vn/6VKH0LjvoK
28510101187,[Có Hộp] Giày Sục Adifom Super.star nam nữ nhiều màu sắc,"89,0k",20k+,Đình Quân Sneaker,11%,₫9.790,https://shopee.vn/product/424059081/28510101187,https://s.shopee.vn/6L0qo2kZ9J
